pl_name,category,etc_version,etc_git_sha,sy_vmag,st_teff,pl_trandur,req_nuv,req_vis,req_nir,NUV_median_snr,VIS_median_snr,NIR_snr,n_transits_needed,t_need_h,vis_waltzer_year,vis_days
LTT 9779 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.79,5443.0,0.466,20.0,200.0,30.0,7.395471696463671,168.6792057138771,12161.731613254433,8.0,3.728,0629-1110,135
WASP-76 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.518,6329.0,3.8,20.0,200.0,30.0,57.25091124117802,525.9333589060426,35176.88774626586,1.0,3.8,0809-1227,141
WASP-131 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,10.068,5990.0,3.845,20.0,200.0,30.0,38.39611494338418,407.9457148850733,26353.540385152668,1.0,3.845,0219-0710,142
TOI-622 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.995,6400.0,3.907,20.0,200.0,30.0,83.03586974048133,681.1616567247552,46561.72625630531,1.0,3.907,0110-0402,83
TIC 393818343 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.48,5756.0,4.1506,20.0,200.0,30.0,47.27158323835898,569.9850524414969,39522.30580079041,1.0,4.1506,0527-1016,143
HAT-P-2 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.72,6290.0,4.248,20.0,200.0,30.0,103.10982438727882,807.3005985083339,55638.21869737432,1.0,4.248,0326-0626,93
TOI-5398 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,10.059,6000.0,4.258,20.0,200.0,30.0,40.681028998088195,431.13825644712745,27870.979486111333,1.0,4.258,1214-0426,134
WASP-8 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.789,5600.0,4.288,20.0,200.0,30.0,32.89276227161601,504.3425139633499,34945.72406965023,1.0,4.288,0701-1113,136
KELT-24 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.34,6426.0,4.3032,20.0,200.0,30.0,129.6720683521513,969.3279041042706,67380.98513284868,1.0,4.3032,1204-0315,102
TOI-1842 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.815,6039.0,4.3070829,20.0,200.0,30.0,49.207623972357545,486.7990931302623,32010.87637285587,1.0,4.3070829,0129-0617,140
HD 219666 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.809,5540.0,2.158,20.0,200.0,30.0,15.667146720538092,359.7511028586813,25912.974463863167,2.0,4.316,0614-1015,124
TOI-1135 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.54,5962.7,4.339,20.0,200.0,30.0,60.225632409109835,556.2162116882479,37160.33783034437,1.0,4.339,1207-0130,55
WASP-94 A b,Quiet FGK host (5200–6500K),0.3.5,858bd57,10.051,6170.0,4.466,20.0,200.0,30.0,41.91483698494697,443.22638667642593,28669.85729010706,1.0,4.466,0519-1009,144
TOI-1333 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.438,6274.0,4.6416,20.0,200.0,30.0,66.93378857044733,603.5117647752927,40525.377158596886,1.0,4.6416,0727-1108,105
WASP-38 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.391,6180.0,4.7339,20.0,200.0,30.0,69.78691897530233,623.0673804298759,41930.913970629466,1.0,4.7339,0315-0729,137
HIP 67522 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.79,5675.0,4.87,20.0,200.0,30.0,35.02668645447885,537.2268735174969,37222.210362842525,1.0,4.87,0223-0710,138
WASP-82 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,10.073,6480.0,4.9848,20.0,200.0,30.0,43.55345486488699,463.38801200871035,29923.63905718668,1.0,4.9848,0927-0209,136
HAT-P-60 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.727,6212.0,5.035,20.0,200.0,30.0,56.700295903557546,548.6635305958297,36275.771879680346,1.0,5.035,0906-0112,129
TOI-6038 A b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.913,6110.0,5.042,20.0,200.0,30.0,49.426274946529176,502.82514274848745,32850.72288386207,1.0,5.042,0915-0128,136
K2-232 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.822,6154.0,5.19208,20.0,200.0,30.0,53.755900627182385,532.7109659946344,35014.242004840635,1.0,5.19208,0929-0213,138
KELT-2 A b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.68,6327.0,5.2035,20.0,200.0,30.0,117.02532773452872,910.265543482918,62799.78781180429,1.0,5.2035,1017-0303,138
WASP-99 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.475,6150.0,5.3315799,20.0,200.0,30.0,69.90065795548273,635.6790621493819,42608.830282566014,1.0,5.3315799,0815-1117,95
TOI-421 c,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.931,5291.0,2.755,20.0,200.0,30.0,15.994134465952984,383.7128775190069,27458.82090295727,2.0,5.51,1010-0213,127
WASP-136 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.974,6250.0,5.52118605,20.0,200.0,30.0,49.37365887545626,511.174525165044,33253.47065597471,1.0,5.52118605,0710-1129,143
HAT-P-22 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.763,5302.0,2.7617,20.0,200.0,30.0,18.40847249773284,415.89638540720614,30026.41848069164,2.0,5.5234,1205-0411,128
HD 202772 A b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.324,6272.0,5.6304,20.0,200.0,30.0,149.75489671180867,1117.034706042029,77672.09685143089,1.0,5.6304,0526-1017,145
HD 118203 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.05,5742.0,5.643,20.0,200.0,30.0,127.36630904112516,1301.6024218880775,94952.36627748542,1.0,5.643,0118-0501,104
HIP 67522 c,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.79,5675.0,5.66,20.0,200.0,30.0,37.76093938108904,579.1638735553929,40127.85025977569,1.0,5.66,0223-0710,138
HD 89345 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.38,5576.0,5.7336,20.0,200.0,30.0,36.144445637866895,717.3498943213101,52641.20377455473,1.0,5.7336,1216-0503,139
HD 332231 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.558,6128.0,6.1681657,20.0,200.0,30.0,137.27299130314955,1048.859748285401,72576.30403781153,1.0,6.1681657,0617-1012,118
TOI-257 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,7.57,6095.0,6.485,20.0,200.0,30.0,247.46366081479857,1699.4109249224657,119399.49196290688,1.0,6.485,0830-1117,80
HD 152843 c,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.855,6310.0,6.5,20.0,200.0,30.0,117.0266645800267,937.8146445448156,64388.845310596145,1.0,6.5,0328-0804,130
KELT-11 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,8.04,5375.0,7.1,20.0,200.0,30.0,107.04289370380246,1488.3974991650994,112450.08460397804,1.0,7.1,1230-0517,139
TOI-2145 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,9.07,6200.0,7.4683854,20.0,200.0,30.0,109.21146482110632,909.3810647997066,62001.67781666066,1.0,7.4683854,0501-0721,82
HD 1397 b,Quiet FGK host (5200–6500K),0.3.5,858bd57,7.79,5521.0,8.6016,20.0,200.0,30.0,138.79530594111736,1839.0689294565257,139301.42395272595,1.0,8.6016,0623-1002,102
