# primary diameter: 35.0 cm
# duty-cycle efficiency: 0.6
# instrumental resolution = lambda/FWHM = 3000.0
#
# SNR stats are per HWHM! resolving element
# Number of transits (for stats): 1
# total in-transit time (for stats): see 'transit_dur' column
#
# Wavelength ranges per band (angstrom)
# NUV  0.2397 0.3252
# VIS  0.45 0.82
# NIR  0.9 1.6
#
target,teff,r_star,m_star,ra,dec,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert
#name,  K,  R_sun,  M_sun,  deg,  deg,  ,  h, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ppm
DS Tuc A b,5428.0,0.964,1.01,354.9154673,-69.196043,8.17,3.1764,0.19761654901813958,30.2127726929022,477.3204215447013,4.127828090312982,65.63148820843799,356.83436053293974,21547.790564823354,666.6799035993541,2378.697606944357,2870.9046400403404,527.6879676982356,937.3941750086478,1058.7337357336187,1508.6647645960127,1438.5169703732636,2865.8761284594307,2947.724284465974,70709.28863889132,20.000393011947992
MASCARA-4 b,7800.0,1.79,1.75,147.5800667,-66.1139253,8.191,3.97,4.552174217304815,198.3802150850486,598.8718009890937,13.983864143536234,244.42779815521334,453.9896922348603,5785.813123739142,661.5265193151583,1951.5436889492462,2049.98546097501,550.3056800311861,944.2901366967182,1086.0190516258124,1497.647288067888,594.5917600759105,1539.4190773397008,1883.255095448083,57281.74795115325,24.688729184365314
MASCARA-1 b,7490.0,2.082,1.9,317.5515264,10.7388967,8.28,4.226,4.193907762354325,182.7672413722551,551.739229416029,13.364747218771386,240.68451378133716,448.3537459304815,5875.797907205255,609.4628790375459,1797.952766074856,1888.6469469498588,544.5230746085094,934.8660587212466,1075.255441603729,1512.74457894805,547.7960374483848,1418.2632978826946,1735.0386400565526,56581.02074619015,24.994486556135882
HD 202772 A b,6272.0,2.591,1.72,319.6995877,-26.6163743,8.324,5.6304,1.3281274735740742,67.2008004245048,528.6058097710181,10.081129390355272,149.75489671180867,496.62831937078624,9443.521336698834,732.9524432019599,1940.6968568473824,2161.4532838505775,693.3923925580001,1117.034706042029,1267.8166654870581,1266.042634775472,892.8377184550131,1971.0984562849674,2153.3438042259563,77672.09685143089,18.207485309404806
KELT-24 b,6426.0,1.338,1.268,161.9090273,71.655727,8.34,4.3032,1.308698969936007,66.21775397639918,520.8731033082851,8.68976215642442,129.6720683521513,430.7000888189956,10906.07700135164,722.2304534136166,1912.3073861874777,2129.8344793123388,601.6577249842558,969.3279041042706,1100.1840538869926,1458.9630159052642,879.7768480142217,1942.2642560362024,2121.843629154787,67380.98513284868,20.988318285712577
HD 332231 b,6128.0,1.266,1.1642,306.741134,33.7443882,8.558,6.1681657,1.0706308678806526,54.171947130306364,426.12001343433997,8.577447064135642,137.27299130314955,461.8546169700942,10302.198188790017,590.8480367993776,1564.4356445306855,1742.3919399430781,650.2593123930892,1048.859748285401,1190.6538912465055,1348.3342884355584,719.7348450399018,1588.9429990116753,1735.8547216554357,72576.30403781153,19.485885663677557
KELT-7 b,6768.0,1.81,1.76,78.2955912,33.3179532,8.56,3.3581,3.240551103653333,141.2206989998409,426.3181906054274,9.342475361616774,184.9216490857163,347.77179690939613,7647.636549669574,470.9201339688402,1389.2431952651502,1459.3208280084225,425.3714012790509,731.7500645173177,841.8561535045743,1932.6456271731922,423.27136272872343,1095.864514827756,1340.630671562543,43917.230007120976,32.201793285773874
KELT-2 A b,6327.0,1.93,1.54,92.6640226,30.9571333,8.68,5.2035,0.9568409654347064,48.414387952634996,380.8306833639837,7.067343724385163,117.02532773452873,398.51048716903864,12084.679357456964,528.0509117726456,1398.1626696756844,1557.205229175808,563.9045521655506,910.265543482918,1033.4373447883083,1553.627479913101,643.239238327049,1420.0653080409134,1551.362806315362,62799.78781180429,22.519400330000312
HAT-P-2 b,6290.0,1.416,1.298,245.1514324,41.0479601,8.72,4.248,0.9222310934783539,46.66319226974049,367.05566571275926,6.1616696297306195,103.10982438727882,352.71714554171,13715.60441283783,508.9507947175784,1347.5897607810043,1500.8795956186661,499.9838097246315,807.3005985083339,916.5754613689002,1751.7806440205381,619.9726470333885,1368.7001593313516,1495.2484988974843,55638.21869737432,25.41802371613013
HD 152843 c,6310.0,1.43,1.15,253.7848853,20.491524,8.855,6.5,0.8144037421917634,41.207327182774485,324.13948072569127,6.754929800254736,117.0266645800267,406.7440133214821,12084.541309010898,449.44421711714546,1190.0294317555586,1325.3966038391784,580.2447703580965,937.8146445448157,1064.9070586503174,1507.9883542013868,547.485383404475,1208.6716004051955,1320.4238955073895,64388.845310596145,21.963642235720684
