proposer,pl_name,pl_trandur,pl_orbper,pl_radj,pl_bmassj,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,ra_in,dec_in,sy_vmag,target,teff,r_star,m_star,ra_etc,dec_etc,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert,etc_version,etc_git_sha,category,req_nuv,req_vis,req_nir,n_transits_needed,t_need_h,vis_waltzer_year,vis_days,vis_intervals_doy
SDT,WASP-7 b,3.7071,4.9546416,1.33,0.96,1487.0,0.0617,6400.0,1.432,1.276,311.0427558,-39.2254856,9.504,WASP-7 b,6400.0,1.432,1.276,311.0427558,-39.2254856,9.504,3.7071,0.4479605411177012,22.665977114902933,178.29203091910824,2.8409344926984863,57.108739374001715,216.1436312053142,24763.52267402534,247.21555694253084,654.5724197687778,729.0307609018334,321.34685323518005,522.8925857639464,594.3367796613904,2704.5967008825114,301.14283112681545,664.8264934220058,726.2955363446209,34998.3095372525,40.40805344806138,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,3.7071,0516-1005,143,"[(136, 278)]"
SDT,WASP-76 b,3.8,1.80988198,1.854,0.894,2228.0,0.033,6329.0,1.756,1.458,26.632936,2.700389,9.518,WASP-76 b,6329.0,1.756,1.458,26.632936,2.700389,9.518,3.8,0.4422214055316616,22.375587440116117,176.00780709706794,2.8400186709315456,57.25091124117802,217.11643495145609,24702.027124345834,244.04830565577367,646.1862349977671,719.690638281279,323.15364749648774,525.9333589060426,597.8097723502291,2688.959615177677,297.2846798390071,656.3089365465273,716.990456597604,35176.88774626586,40.2029188191391,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,3.8,0809-1227,141,"[(221, 361)]"
SDT,TOI-1135 b,4.339,8.0277283,0.83243188,0.162,1074.28,0.082337403,5962.7,1.15,1.156039,193.3963704,85.1294952,9.54,TOI-1135 b,5962.7,1.15,1.156039,193.3963704,85.1294952,9.54,4.339,0.4333509575980249,21.92675913626352,172.4772948485912,2.974789030236837,60.225632409109835,229.1404900403936,23481.9213315422,239.1529800077328,633.2244894077064,705.2544797069903,341.6560971150896,556.2162116882479,632.259503504932,2542.560847122061,291.3214943373704,643.1441413168227,702.6084605327208,37160.33783034437,38.05706957858379,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,4.339,1207-0130,55,"[(341, 30)]"
SDT,TOI-2497 b,7.838,10.655669,0.994,4.82,1595.0,0.1166,7360.0,2.36,1.859,90.0625878,11.8840577,9.547,TOI-2497 b,7360.0,2.36,1.859,90.0625878,11.8840577,9.547,7.838,1.305626254728898,56.89817763327086,171.7646797470501,5.934173159892412,162.84799086090445,317.11340438596096,8684.255512744008,189.7349157978107,559.7296052195463,587.9640611044467,404.5265160131638,704.6728759031769,812.0600087894715,2006.9079011456236,170.53710507156364,441.5265911319283,540.143496182969,40197.95497420527,35.18123156465511,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,7.838,1015-0228,137,"[(288, 59)]"
SDT,HD 2685 b,4.405,4.12688,1.44,1.17,2061.0,0.0568,6801.0,1.56,1.43,7.3289156,-76.304032,9.595,HD 2685 b,6801.0,1.56,1.43,7.3289156,-76.304032,9.595,4.405,1.249162317368297,54.43752311887123,164.33643595762442,4.260315958232059,118.73183109043424,231.5202211403364,11910.989238395,181.52951983405455,535.5231853091618,562.5365960881436,296.2025971611881,516.4522101585596,595.2301287010428,2738.324155760525,163.16194975162227,422.4320534000033,516.7841095102922,29355.408572152992,48.17557074353381,0.3.5,858bd57,A/F host (6500–10000K),20.0,200.0,30.0,1.0,4.405,0618-0903,78,"[(169, 246)]"
SDT,TOI-1789 b,2.3,3.208664,1.44,0.7,1927.0,0.04882,5991.0,2.168,1.507,142.743406,26.5399951,9.721,TOI-1789 b,5991.0,2.168,1.507,142.743406,26.5399951,9.721,2.3,0.3668088121895412,18.559849315943108,145.99296607938402,1.8374589885291557,38.489443078561514,150.4122383413159,36742.894915016506,202.43042963250488,535.9912531321199,596.9608546074508,227.79941627885316,371.877209801057,422.8889789803776,3802.9046284650153,246.5883354578747,544.3877171766089,594.7211384297726,24596.063294625907,57.497557451890785,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,2.3,1130-0416,138,"[(334, 106)]"
SDT,HAT-P-60 b,5.035,4.7947813,1.631,0.574,1772.0,0.06277,6212.0,2.197,1.435,28.2825719,52.0539209,9.727,HAT-P-60 b,6212.0,2.197,1.435,28.2825719,52.0539209,9.727,5.035,0.3647873424542686,18.457566675950225,145.1884042676583,2.7038568352521573,56.700295903557546,221.7728661208428,24941.907971319128,201.31484305606,533.0374252507506,593.6710255176635,336.05966485619643,548.6635305958297,623.9347777565537,2577.5607152844805,245.22939630310387,541.3876166938592,591.4436523326243,36275.771879680346,38.98507155309515,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,5.035,0906-0112,129,"[(249, 12)]"
SDT,WASP-14 b,2.817,2.24375,1.38,8.84,1872.0,0.037,6475.0,1.4,1.62,218.2766247,21.8946875,9.745,WASP-14 b,6475.0,1.4,1.62,218.2766247,21.8946875,9.745,2.817,0.35878952948052,18.154088402477175,142.80122468819258,1.989605918222204,41.85939498971459,164.15823932548687,33784.85433725419,198.00483572585455,524.2732538758536,583.9099198964211,249.16768023023656,406.92180133407055,462.7678172239349,3475.393939908539,241.19734835759252,532.4861519407605,581.7191690560519,26875.147993454637,52.621610222110135,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,2.817,0212-0624,133,"[(43, 175)]"
SDT,WASP-74 b,2.292,2.13775,1.36,0.72,1887.5,0.035715,5990.0,1.42,0.98,304.538843,-1.0760033,9.75,WASP-74 b,5990.0,1.42,0.98,304.538843,-1.0760033,9.75,2.292,0.3571410413339131,18.07067794290421,142.14511265905873,1.7865106256599763,37.620519560508384,147.64324252608247,37591.547881163395,197.0950861433137,521.8644370805341,581.2270975101904,224.20450190482285,366.18446252245303,416.44481587589786,3862.02503686617,240.0891472059697,530.0396003064984,579.0464122556197,24177.307886513696,58.49342569533787,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,2.292,0520-1009,143,"[(140, 282)]"
SDT,TOI-5108 b,2.2,6.753581,0.58881358,0.10068326,1180.0,0.073,5808.0,1.29,1.1,166.2695041,11.2464069,9.75,TOI-5108 b,5808.0,1.29,1.1,166.2695041,11.2464069,9.75,2.2,0.1918590323645753,12.722350567438127,124.39485652725328,1.2484707163193474,28.018600088304087,138.80207208076348,50474.09784628875,166.83972517660743,534.3017638329799,616.6849499887267,222.62134126603425,365.47842388250024,413.8105513228002,3869.485775247183,277.61771042987226,582.2613970394345,620.8419783630541,25000.4802030233,56.56745594038929,0.3.5,858bd57,Quiet FGK host (5200–6500K),20.0,200.0,30.0,1.0,2.2,1226-0514,140,"[(360, 134)]"
