cluster,pl_name,ra_in,dec_in,sy_vmag,st_teff,vis_waltzer_2026,nn_sep_arcsec,nn_dG,crowded_vis,NUV_median_snr,NUV_transit_uncert,VIS_median_snr,VIS_transit_uncert,NIR_snr,NIR_transit_uncert,pl_trandur,st_rad,st_mass,designation,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,parallax,pmra,pmdec,ruwe,nn_source_id,cluster_center_ra,cluster_center_dec,target,teff,r_star,m_star,ra_etc,dec_etc,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_max_snr,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_max_snr,NIR_min_flux,NIR_median_flux,NIR_max_flux
NGC 2632,Gaia DR3 664451236197408128,130.20535798451553,20.598516719826684,12.448940229141275,4939.1083984375,1120-0407,387.35741035749504,0.0042791367,False,1.4437240294279503,979559.4819693152,95.42483527009178,14820.18342887662,5322.440154799038,265.7077432985232,2.5,,,Gaia DR3 664451236197408128,664451236197408128,12.2733555,12.747173,11.638583,1.1085901,4939.1084,3.0918,1.048542722952953,0.242441453579601,-4.03586188531236,0.9721336,664449135956638592,129.99333333333337,19.609166666666667,Gaia DR3 664451236197408128,4939.1083984375,,,130.20535798451553,20.598516719826684,12.448940229141275,2.5,0.0188489613716029,0.5869679740252541,9.273289930811073,0.0588256531617453,21.921746584150732,12.95212976037106,46.21747821220682,55.775386698621766,44.576915345973454,111.46323434831828,38.61787343499362,55.68080465733115,57.26782406980178
NGC 2632,Gaia DR3 661213238876208128,130.0717855559707,19.29201275684005,12.45150338698421,5669.724609375,1120-0407,152.5696504388022,-1.3270912,False,2.1585214494530653,655176.979006363,93.31358963834818,15155.494155289784,4906.701540476844,288.22082425572984,2.5,,,Gaia DR3 661213238876208128,661213238876208128,12.337322,12.666301,11.847405,0.81889534,5669.7246,4.3343,2.7843785489950905,-10.984228834979088,-2.1249647229726616,0.995943,661212933936844416,129.99333333333337,19.609166666666667,Gaia DR3 661213238876208128,5669.724609375,,,130.0717855559707,19.29201275684005,12.45150338698421,2.5,0.025544102381887,0.8750081107845751,9.996945573793216,0.084376356378732,23.571805111523975,14.134935353593646,44.85372773468805,52.44260851215975,46.41880835446509,109.39098811772112,34.16665285103674,50.286848718097055,52.97058776771712
NGC 2632,Gaia DR3 661315837054947840,129.8408839749019,19.861139939037443,12.45285988039832,4945.75341796875,1120-0407,288.8815954582712,0.02400589,False,1.438564942726249,983072.4497519,95.21109359621518,14853.453615087064,5306.692858753339,266.4962152539813,2.5,,,Gaia DR3 661315837054947840,661315837054947840,12.2768755,12.754824,11.644432,1.1103916,4945.7534,4.5454,5.364387641278777,-35.13779372463191,-12.878717076836146,0.9870262,661313023854578560,129.99333333333337,19.609166666666667,Gaia DR3 661315837054947840,4945.75341796875,,,129.8408839749019,19.861139939037443,12.45285988039832,2.5,0.0187810368109047,0.5848527624232163,9.23987248502404,0.0586137405532091,21.85166081743879,12.905455160814364,46.05092782026466,55.57439320276878,44.45685013998448,111.22220605794024,38.478709157638654,55.4801519995476,57.06145239152229
NGC 2632,Gaia DR3 661307934315134720,129.88321530842452,19.649172696766023,12.455228825573784,6313.1552734375,1120-0407,326.295294103632,-3.046342,False,3.5951944283559265,393362.1923807363,90.20714836666735,15677.400161511636,4380.295382792462,322.85803553995174,2.5,,,Gaia DR3 661307934315134720,661307934315134720,12.373017,12.620546,11.973026,0.64752007,6313.1553,4.1737,1.7666313494545227,-4.673962250743999,2.2036364842684044,0.9135343,661285707862587520,129.99333333333337,19.609166666666667,Gaia DR3 661307934315134720,6313.1552734375,,,129.88321530842452,19.649172696766023,12.455228825573784,2.5,0.0341133443090119,1.495832173017319,11.766311890699306,0.1276136629387131,27.10171708943177,16.533527091436728,43.20186525711016,48.11209601721727,48.4579130667157,106.6010276623078,30.03915104011379,43.87776659472186,47.9315859570348
NGC 2632,Gaia DR3 661273200917859456,129.55231761478075,19.375492477897833,12.463346078210158,6017.3046875,1120-0407,43.54613517665185,-1.6078138,False,3.5689652418084172,396253.1060281507,89.78331622284973,15751.4070750394,4352.649804942277,324.9086477775691,2.5,,,Gaia DR3 661273200917859456,661273200917859456,12.33613,12.694745,11.8113165,0.8834286,6017.3047,3.8902,1.3461180996514748,-15.464120718117815,-9.994174499296236,0.9427495,661273132199950208,129.99333333333337,19.609166666666667,Gaia DR3 661273200917859456,6017.3046875,,,129.55231761478075,19.375492477897833,12.463346078210158,2.5,0.0338592548775474,1.4846906342996462,11.67867183196865,0.1266638529193556,26.927091348441568,16.410378963223014,42.8800809933937,47.75373844861185,48.19307765656629,106.11930963843794,29.815407781747876,43.550947955453,47.574572897432965
NGC 2632,Gaia DR3 661024500833497984,130.94954113479557,19.198268983468186,12.463415695782322,5915.185546875,1120-0407,289.6862986844527,-0.6224346,False,3.568741099959531,396277.9934888334,89.77968776643102,15752.043669970026,4352.413347286488,324.9262993954346,2.5,,,Gaia DR3 661024500833497984,661024500833497984,12.365492,12.653957,11.919367,0.73459053,5915.1855,4.4198,2.6945358559369734,-4.639533152372252,-4.356650911866533,1.0375744,661025639001253504,129.99333333333337,19.609166666666667,Gaia DR3 661024500833497984,5915.185546875,,,130.94954113479557,19.198268983468186,12.463415695782322,2.5,0.0338570838865286,1.4845954387602145,11.67792301774486,0.1266557375066112,26.925597906334197,16.409326760938182,42.87733160416288,47.75067656973523,48.190811118860175,106.11518547406584,29.81349607451299,43.54815555150862,47.571522506310686
NGC 2632,Gaia DR3 659484291201241984,129.78062543597986,18.554054905361443,12.464949662218414,5901.46533203125,1120-0407,40.784010197905296,-0.034282684,False,3.563805814672267,396826.77337545913,89.69976587152597,15766.07863613186,4347.205973167747,325.3155178526261,2.5,,,Gaia DR3 659484291201241984,659484291201241984,12.366816,12.653239,11.917525,0.73571396,5901.4653,4.3712,2.6122152507952157,11.281237121083135,1.4922444051616903,0.9673009,659484226778369152,129.99333333333337,19.609166666666667,Gaia DR3 659484291201241984,5901.46533203125,,,129.78062543597986,18.554054905361443,12.464949662218414,2.5,0.0338092831784885,1.4824994309243469,11.661435685564795,0.1264770527967321,26.892709374279317,16.386159454496127,42.816795770172675,47.68326036351158,48.140890599317515,106.02434428813962,29.771404256260496,43.48667262296766,47.50435923655105
NGC 2632,Gaia DR3 661217194544404736,129.99765688006855,19.33511540169997,12.4795529835532,5716.728515625,1120-0407,129.62962760610836,-2.2507744,False,2.1041423519561793,672109.261551781,91.8174077177262,15402.455781814326,4802.2175429348035,294.49177379599087,2.5,,,Gaia DR3 661217194544404736,661217194544404736,12.365676,12.693592,11.876231,0.8173609,5716.7285,4.1768,2.2483315839688163,0.6520359637709534,-32.77323809912,0.8927443,661216743570426240,129.99333333333337,19.609166666666667,Gaia DR3 661217194544404736,5716.728515625,,,129.99765688006855,19.33511540169997,12.4795529835532,2.5,0.024892631358436,0.8526921013613968,9.74198572956076,0.082225478790221,23.041560402900107,13.774441151701074,43.70978838320653,51.10512405766248,45.53785630418281,107.69992206430204,33.29527424598753,49.00434427496821,51.61963784941779
NGC 2632,Gaia DR3 664304657553995136,129.09068607169965,19.80771252202432,12.480725479291587,6002.64599609375,1120-0407,245.56844896459572,-0.033391,False,3.5134360930772965,402515.8064379178,88.88094516755929,15911.32452188717,4293.959161339349,329.34956044900565,2.5,,,Gaia DR3 664304657553995136,664304657553995136,12.375919,12.677508,11.906627,0.77088165,6002.646,4.2743,2.5007473719281346,-2.614819142485372,-4.268935108116284,0.93462634,664303558042471936,129.99333333333337,19.609166666666667,Gaia DR3 664304657553995136,6002.64599609375,,,129.09068607169965,19.80771252202432,12.480725479291587,2.5,0.0333215838452992,1.4611143580702894,11.49321932978298,0.124653953498005,26.556492763533047,16.1497888991873,42.19916295506155,46.995428735706575,47.62979570783458,105.09358307287006,29.34195137708417,42.85937682586717,46.81910825974255
NGC 2632,Gaia DR3 661412323497128960,130.55318696737334,20.157218715527257,12.482573948444944,5679.6064453125,1120-0407,48.55070410855625,-0.09219074,False,2.098367014506758,673959.1084858527,91.6573613395635,15429.3505912073,4791.076925882723,295.1765509614597,2.5,,,Gaia DR3 661412323497128960,661412323497128960,12.369585,12.696609,11.883738,0.812871,5679.6064,4.3652,2.6251724106804812,-5.849634003769889,-31.00917331921373,0.92890304,661410846028379904,129.99333333333337,19.609166666666667,Gaia DR3 661412323497128960,5679.6064453125,,,130.55318696737334,20.157218715527257,12.482573948444944,2.5,0.0248234660826671,0.8503228586932622,9.71491719189519,0.0819971215601375,22.985086003519903,13.736168258526366,43.588338805466464,50.963126213089474,45.44375407046426,107.51900816192592,33.202761855800155,48.868183539815576,51.47621040554768
