# primary diameter: 35.0 cm
# duty-cycle efficiency: 0.6
# instrumental resolution = lambda/FWHM = 3000.0
#
# SNR stats are per HWHM! resolving element
# Number of transits (for stats): 1
# total in-transit time (for stats): 2.5 h
#
# Wavelength ranges per band (angstrom)
# NUV  0.2397 0.3252
# VIS  0.45 0.82
# NIR  0.9 1.6
#
target,teff,r_star,m_star,ra,dec,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert
#name,  K,  R_sun,  M_sun,  deg,  deg,  ,  h, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ppm
Gaia DR3 65158506467802112,5401.505859375,nan,nan,55.37739276523982,23.80127677982192,9.315210587724332,2.5,0.3378930670815427,10.522192979865284,166.23623524311313,1.0484223106177355,22.836376950071433,178.8016849318573,61928.10556004908,232.18440335727246,828.5106621006821,999.8490690128506,258.31928995099327,459.96774963564206,523.6793381551176,3074.592867637671,692.2774916805478,998.1535582951797,1026.6030227630486,35871.07447432224,39.42490106855981
Gaia DR3 66552859012958208,4385.03466796875,nan,nan,57.4413050716318,24.245813341207327,9.321444905261478,2.5,0.0018383669388044419,0.37473044258474253,25.495710163636918,0.006519687733093203,0.845005152193744,51.16915672906547,1673615.3131156794,111.89154946523244,1069.979406126008,2401.8262488301048,150.53967803862727,562.8898933490167,677.9774800014177,2512.415978831974,2225.547679463692,3441.4026079430846,4656.865817860598,69350.7063345138,20.39220127840692
Gaia DR3 66430435265434368,6947.0693359375,nan,nan,57.761452252567,23.428262081928334,9.36237286441317,2.5,1.5476391711757467,67.4449124738612,203.6032483554717,3.5653722402459933,97.6753114089078,202.42452055491154,14478.720794169094,224.90447535416317,663.5731486991119,696.9499953857443,237.54694428280376,410.8575509935662,475.0381526479124,3442.101913310682,319.1180988494306,523.4017258668642,640.2653360568008,25047.59300014736,56.46105645220182
Gaia DR3 64952829074688896,6281.28173828125,nan,nan,56.66674719150831,23.110124081170717,9.376825825079091,2.5,0.5811463277407694,25.48261954005673,200.4479210361686,2.148363875840487,47.50018842571499,199.54600987553303,29772.79899815067,281.6609965518003,735.9760778156409,819.6255303215967,266.7492703647966,428.18553773559955,491.49116517912427,3302.805531106841,511.7393990245831,747.4905624909046,816.5504064743112,30658.49560690707,46.12795032429727
Gaia DR3 64808204638390912,6319.2509765625,nan,nan,56.66006365313638,22.919584206915975,9.390209552232326,2.5,0.5740265857384981,25.170426778945167,197.99219273755367,2.122367599108146,47.0404061698559,198.1527444561141,30063.80423813903,278.2103103273044,726.9594850166097,809.5841310460469,265.03042755431255,425.50147118493345,488.4244017810566,3323.6396537826377,505.46997543962067,738.3329033953768,806.546681167214,30448.036948081095,46.446789485462126
Gaia DR3 65011824745303808,6050.64892578125,nan,nan,56.79109574419367,23.78255399499997,9.439214861181526,2.5,0.5486935858738862,24.059602935546167,189.25438108138823,2.0298053701066356,45.38738502155895,193.11875692821346,31158.736325112044,265.93230451893584,694.8772348333512,773.8554815518846,258.8228475967515,415.81095958493546,477.3528573151705,3401.097373154306,483.16252289732535,705.7487203515021,770.9520807210941,29687.660929137597,47.636409138083515
Gaia DR3 64943208347874560,6503.634765625,nan,nan,57.30048773556515,23.4084258538581,9.443443952366325,2.5,1.2081071048470713,43.94479967252095,186.6803566363187,3.4351435998058713,71.85740585150639,194.98060239591243,19680.83241545865,231.668485066254,656.7465638644326,689.6235706301871,242.8011522241862,403.45535208262316,465.00590554630367,3505.254187540137,376.89195645168303,578.5777089472664,668.9305095307659,26517.366036653668,53.33160014528956
Gaia DR3 68310561489710336,6303.033203125,nan,nan,55.729745748660456,24.492868817275667,9.454368567766746,2.5,0.5410886208492043,23.72613368505156,186.63129055154457,2.001998675794003,44.88584121999015,191.5833533560028,31506.896694703533,262.246447919066,685.2461452718817,763.129743138181,256.9303412804647,412.8575576482914,473.97876314212755,3425.427332440521,476.4658269955151,695.9669505756826,760.2665838234919,29455.74894189105,48.011461706948644
Gaia DR3 66729261908482048,6233.60107421875,nan,nan,56.791988143840086,24.276453622807093,9.458383725035851,2.5,0.539091318294132,23.63855419140639,185.94238463278765,1.994694268833754,44.75370616533529,191.1781941418536,31599.920622182955,261.27842626733485,682.716718808141,760.3128275219748,256.431016495155,412.07839823745684,473.0886344109268,3431.9041435367017,474.70706442503416,693.3979507574107,757.4602368927,29394.553067211535,48.11141571499499
Gaia DR3 65120023560871552,4399.359375,nan,nan,55.250939266359424,23.448700900749216,9.58095643559878,2.5,0.0014475300523236654,0.2950627351440118,20.075321138662108,0.00513364361477756,0.6660561581844618,42.35180719526548,2123264.750269652,88.10340146636703,842.5017405622431,1891.197889961202,131.33480259097877,498.6859960191532,600.9404728260646,2835.8798395429158,1752.3961516616387,2709.760272550554,3666.815954259889,61309.78267377745,23.066686924955654
