dist_bin_pc,v_bin,teff_bin_k,n
450.0,10.5,4800.0,2
200.0,9.75,4600.0,1
160.0,9.0,5000.0,14
50.0,7.25,5000.0,1
200.0,10.5,5000.0,2
110.0,8.75,5000.0,3
360.0,15.75,3600.0,1
350.0,10.75,4600.0,6
420.0,12.25,4600.0,1
310.0,10.0,5000.0,30
130.0,8.25,5000.0,5
130.0,9.0,4800.0,7
410.0,11.0,4800.0,37
330.0,11.25,4400.0,1
240.0,8.75,5000.0,1
370.0,9.75,5000.0,3
260.0,10.0,4600.0,2
390.0,12.25,4800.0,6
100.0,15.25,3200.0,1
240.0,10.75,5000.0,18
370.0,15.75,3600.0,2
200.0,9.5,4800.0,21
460.0,13.5,4800.0,1
110.0,15.25,3200.0,1
110.0,8.5,4800.0,8
450.0,11.25,5000.0,67
240.0,11.0,4800.0,3
270.0,10.75,5000.0,29
160.0,15.25,3400.0,2
180.0,8.75,5000.0,13
450.0,13.25,5000.0,2
440.0,11.75,5000.0,65
310.0,11.5,4800.0,12
80.0,7.75,4800.0,3
270.0,10.0,5000.0,20
390.0,12.25,5000.0,6
140.0,15.0,3200.0,3
80.0,13.25,3400.0,3
270.0,10.5,4600.0,1
70.0,7.75,4800.0,6
340.0,11.75,4600.0,1
370.0,11.75,4800.0,14
460.0,12.5,5000.0,13
180.0,8.0,5000.0,1
290.0,10.25,5000.0,26
150.0,14.75,3200.0,2
110.0,8.25,4800.0,5
100.0,8.75,5000.0,3
280.0,11.25,5000.0,4
100.0,13.75,3400.0,4
350.0,11.75,4800.0,15
310.0,9.75,4800.0,5
50.0,12.5,3200.0,2
370.0,13.0,5000.0,2
380.0,13.5,5000.0,1
160.0,7.75,5000.0,1
300.0,11.75,5000.0,2
340.0,15.75,3400.0,6
220.0,11.0,5000.0,2
380.0,12.25,4800.0,7
390.0,15.75,3400.0,7
380.0,11.0,5000.0,57
370.0,12.5,4800.0,1
430.0,13.25,5000.0,1
320.0,11.25,5000.0,29
440.0,13.75,4600.0,1
100.0,8.0,5000.0,8
200.0,9.0,4800.0,12
30.0,11.75,3000.0,2
80.0,7.0,4800.0,1
490.0,14.25,5000.0,1
140.0,8.75,5000.0,9
350.0,11.0,4800.0,37
260.0,8.75,5000.0,1
140.0,14.0,3400.0,6
170.0,9.25,5000.0,17
330.0,11.0,4800.0,31
460.0,11.5,4800.0,47
210.0,8.75,5000.0,9
70.0,12.75,3400.0,1
260.0,11.25,5000.0,4
390.0,12.0,4800.0,13
340.0,10.5,4800.0,40
380.0,11.25,5000.0,55
290.0,9.75,4800.0,10
290.0,10.75,4600.0,5
100.0,9.0,4800.0,1
270.0,11.25,5000.0,4
480.0,10.5,5000.0,20
480.0,12.0,5000.0,66
140.0,8.5,4800.0,9
240.0,9.25,5000.0,13
470.0,12.5,5000.0,18
310.0,15.5,3400.0,1
70.0,13.5,3200.0,1
330.0,15.25,3600.0,1
20.0,12.25,3200.0,1
440.0,12.5,4800.0,11
130.0,14.25,3400.0,4
100.0,14.25,3200.0,4
80.0,6.75,4800.0,2
280.0,11.0,5000.0,25
480.0,11.25,5000.0,42
10.0,11.0,3200.0,3
270.0,12.0,4800.0,1
360.0,11.25,5000.0,40
470.0,13.75,5000.0,1
330.0,10.0,4800.0,15
270.0,11.25,4400.0,1
240.0,9.25,4800.0,6
160.0,8.5,5000.0,10
210.0,10.25,5000.0,18
210.0,8.75,4800.0,1
360.0,10.75,4800.0,47
310.0,10.5,5000.0,25
60.0,13.5,3200.0,9
420.0,11.75,5000.0,56
480.0,14.25,4800.0,2
30.0,12.0,3400.0,1
110.0,14.75,3200.0,3
350.0,10.75,5000.0,48
450.0,11.5,4600.0,4
420.0,13.25,5000.0,1
200.0,8.5,5000.0,1
180.0,15.25,3400.0,9
300.0,10.5,4800.0,24
230.0,11.0,5000.0,3
320.0,9.5,5000.0,8
60.0,7.0,5000.0,5
120.0,9.25,5000.0,7
320.0,10.0,4800.0,16
280.0,9.5,5000.0,21
310.0,10.25,4800.0,25
320.0,11.75,5000.0,7
370.0,13.0,4800.0,1
390.0,11.5,5000.0,56
480.0,14.5,4800.0,1
340.0,11.75,4800.0,13
460.0,13.0,4800.0,8
390.0,12.5,4800.0,6
440.0,11.0,5000.0,48
150.0,9.25,5000.0,14
350.0,11.5,5000.0,31
210.0,9.5,4800.0,17
390.0,9.75,5000.0,3
250.0,11.0,4800.0,6
300.0,11.75,4800.0,4
50.0,6.0,4800.0,1
90.0,7.25,4800.0,1
170.0,10.25,4800.0,3
340.0,12.25,5000.0,4
90.0,8.25,5000.0,7
260.0,10.75,4600.0,3
300.0,10.75,5000.0,41
140.0,15.25,3400.0,3
340.0,11.25,4600.0,1
310.0,11.0,5000.0,37
460.0,12.75,4600.0,1
200.0,10.25,5000.0,16
20.0,11.25,3200.0,3
490.0,12.5,4800.0,25
470.0,11.0,4800.0,34
150.0,8.0,5000.0,6
260.0,10.5,4600.0,4
460.0,13.5,5000.0,1
320.0,10.75,5000.0,50
230.0,9.25,5000.0,13
200.0,11.0,4800.0,2
390.0,12.0,4400.0,1
490.0,13.5,4600.0,1
150.0,9.5,5000.0,13
420.0,11.0,4800.0,47
430.0,12.5,4200.0,1
220.0,9.25,4800.0,17
390.0,15.5,3400.0,1
370.0,10.0,5000.0,18
420.0,11.25,5000.0,63
280.0,15.75,3400.0,7
140.0,15.75,3200.0,2
370.0,11.5,4800.0,26
170.0,9.75,4800.0,11
320.0,9.75,4800.0,4
100.0,8.75,4800.0,4
160.0,8.75,5000.0,15
310.0,10.75,4800.0,38
120.0,8.75,4800.0,9
290.0,10.25,4600.0,5
20.0,12.25,3000.0,2
40.0,12.5,3200.0,8
430.0,11.25,4600.0,3
380.0,12.25,5000.0,8
180.0,9.75,4800.0,14
270.0,11.5,4800.0,2
170.0,9.5,5000.0,28
10.0,10.0,3400.0,1
490.0,11.0,4600.0,1
190.0,10.25,5000.0,14
130.0,8.75,5000.0,11
90.0,8.5,5000.0,8
420.0,10.75,5000.0,28
230.0,10.0,4600.0,1
300.0,9.75,5000.0,10
470.0,11.25,4600.0,1
180.0,10.25,4800.0,3
340.0,12.25,4200.0,1
370.0,10.25,4800.0,9
250.0,9.25,4800.0,3
440.0,13.75,4800.0,1
470.0,13.0,5000.0,10
460.0,14.5,4800.0,1
10.0,10.0,3200.0,1
290.0,12.0,5000.0,1
490.0,11.75,5000.0,60
70.0,7.75,5000.0,2
370.0,11.25,5000.0,61
170.0,15.25,3400.0,2
180.0,9.5,4800.0,28
120.0,13.75,3400.0,4
300.0,9.25,5000.0,3
350.0,11.5,4800.0,21
280.0,15.25,3400.0,1
60.0,7.5,5000.0,1
250.0,10.25,5000.0,38
0.0,9.5,3200.0,2
150.0,15.25,3200.0,4
440.0,12.25,4400.0,1
120.0,8.75,5000.0,9
40.0,12.5,3400.0,1
330.0,11.25,4800.0,31
290.0,10.75,4800.0,30
250.0,9.75,4600.0,4
160.0,14.25,3600.0,1
210.0,8.5,5000.0,2
450.0,12.0,4800.0,40
460.0,11.25,5000.0,59
350.0,10.5,5000.0,23
360.0,10.5,4800.0,35
190.0,15.0,3400.0,8
440.0,13.25,4800.0,2
130.0,7.75,5000.0,6
120.0,9.0,4800.0,8
140.0,9.25,4800.0,12
310.0,11.0,4800.0,47
200.0,10.25,4800.0,10
270.0,11.5,4400.0,2
140.0,8.5,5000.0,10
160.0,8.25,4800.0,2
80.0,7.5,4800.0,5
270.0,15.5,3400.0,1
490.0,13.5,4800.0,3
190.0,9.0,5000.0,8
260.0,11.75,4800.0,1
20.0,5.75,4800.0,1
430.0,10.25,5000.0,11
280.0,10.75,5000.0,43
210.0,9.25,4600.0,1
330.0,15.5,3400.0,1
480.0,11.75,4800.0,44
290.0,11.0,4800.0,20
400.0,11.5,4600.0,2
10.0,9.5,3200.0,1
270.0,9.5,5000.0,7
470.0,13.25,4600.0,1
290.0,11.5,5000.0,2
260.0,9.5,4800.0,6
170.0,10.0,4800.0,4
280.0,11.25,4800.0,5
320.0,11.5,5000.0,12
330.0,11.5,5000.0,18
180.0,10.0,4800.0,8
150.0,9.25,4800.0,11
280.0,11.75,5000.0,3
130.0,8.5,5000.0,10
280.0,11.5,5000.0,5
160.0,15.75,3000.0,1
230.0,11.25,5000.0,2
330.0,11.0,4600.0,2
420.0,11.5,4600.0,6
0.0,8.0,3200.0,1
450.0,12.0,5000.0,60
310.0,10.5,4800.0,31
450.0,12.25,4600.0,4
410.0,11.75,5000.0,51
450.0,12.25,4800.0,28
310.0,9.5,5000.0,12
310.0,12.0,4800.0,1
410.0,12.0,4600.0,1
300.0,11.0,5000.0,29
460.0,11.75,4800.0,51
420.0,12.75,5000.0,5
110.0,14.0,3400.0,7
390.0,10.25,5000.0,20
400.0,11.75,4800.0,43
380.0,11.25,4800.0,41
300.0,9.5,5000.0,14
220.0,9.0,5000.0,16
340.0,10.0,5000.0,27
300.0,15.75,3400.0,2
270.0,10.0,4800.0,25
270.0,11.25,4800.0,6
370.0,12.5,5000.0,3
120.0,15.25,3200.0,3
290.0,10.5,4600.0,1
330.0,9.75,5000.0,14
10.0,11.75,3000.0,1
260.0,9.75,4800.0,17
60.0,7.0,4800.0,4
220.0,10.75,4800.0,8
450.0,11.5,5000.0,69
450.0,10.25,4800.0,1
470.0,12.5,4600.0,2
470.0,12.25,4800.0,34
60.0,6.5,5000.0,1
230.0,8.75,5000.0,4
250.0,11.25,5000.0,2
440.0,13.75,5000.0,2
170.0,9.75,4600.0,1
220.0,9.5,5000.0,24
380.0,15.75,3600.0,5
130.0,9.5,5000.0,2
60.0,7.25,4800.0,2
410.0,12.25,5000.0,6
330.0,10.75,4800.0,44
70.0,7.25,5000.0,1
270.0,10.5,5000.0,38
440.0,11.25,5000.0,54
190.0,10.25,4800.0,10
440.0,12.75,4800.0,6
360.0,12.25,5000.0,1
160.0,9.5,5000.0,10
330.0,11.75,5000.0,8
180.0,15.0,3200.0,1
460.0,12.25,4800.0,43
140.0,14.25,3400.0,5
340.0,12.0,4600.0,1
60.0,7.75,4800.0,3
50.0,12.5,3400.0,6
90.0,14.25,3200.0,4
320.0,11.25,4800.0,21
370.0,12.0,5000.0,11
450.0,12.0,4600.0,2
260.0,10.25,4600.0,5
10.0,10.25,3000.0,1
460.0,11.25,4600.0,6
90.0,14.75,3200.0,2
370.0,15.75,3400.0,2
100.0,7.75,5000.0,5
450.0,12.5,4800.0,19
400.0,10.25,4800.0,2
450.0,11.0,5000.0,46
310.0,15.75,3400.0,1
220.0,11.25,5000.0,2
370.0,12.25,4200.0,1
70.0,13.25,3400.0,7
350.0,12.5,4600.0,1
230.0,9.5,5000.0,17
130.0,9.0,5000.0,8
350.0,15.75,3400.0,7
50.0,12.75,3400.0,6
390.0,11.25,4600.0,2
50.0,13.0,3200.0,11
160.0,15.75,3200.0,4
110.0,14.5,3200.0,3
420.0,12.0,5000.0,34
160.0,14.75,3400.0,8
90.0,13.25,3400.0,1
130.0,15.5,3200.0,4
200.0,14.25,3600.0,1
340.0,10.25,4800.0,16
330.0,11.25,5000.0,29
480.0,11.75,4600.0,4
440.0,11.75,4600.0,4
410.0,11.5,4600.0,2
310.0,9.75,5000.0,13
240.0,9.75,5000.0,23
400.0,10.0,5000.0,4
60.0,6.25,4800.0,1
450.0,13.25,4800.0,1
0.0,9.0,3200.0,1
430.0,11.0,5000.0,50
80.0,14.5,3200.0,1
470.0,12.25,5000.0,40
190.0,9.5,5000.0,13
180.0,8.75,4600.0,1
280.0,10.5,4600.0,1
420.0,11.0,4600.0,4
170.0,10.5,4000.0,1
170.0,9.0,5000.0,12
380.0,12.0,5000.0,5
390.0,11.0,4800.0,40
270.0,15.0,3600.0,1
390.0,10.25,4800.0,5
440.0,12.75,4600.0,1
220.0,9.75,4600.0,3
320.0,10.25,5000.0,34
430.0,12.5,4800.0,5
70.0,13.75,3200.0,5
300.0,12.0,5000.0,1
400.0,12.5,5000.0,9
460.0,11.0,5000.0,37
360.0,12.25,4800.0,6
280.0,12.0,5000.0,1
380.0,10.0,4800.0,1
110.0,9.5,5000.0,1
480.0,11.0,5000.0,48
140.0,9.25,5000.0,11
470.0,15.0,4800.0,1
140.0,14.75,3400.0,10
480.0,13.5,5000.0,3
420.0,12.25,5000.0,17
490.0,12.25,4800.0,56
280.0,10.75,4800.0,39
