# primary diameter: 35.0 cm
# duty-cycle efficiency: 0.6
# instrumental resolution = lambda/FWHM = 3000.0
#
# SNR stats are per HWHM! resolving element
# Number of transits (for stats): 1
# total in-transit time (for stats): 2.5 h
#
# Wavelength ranges per band (angstrom)
# NUV  0.24 0.32
# VIS  0.425 0.797
# NIR  0.9 1.6
#
target,teff,r_star,m_star,ra,dec,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_median_snr,NUV_max_snr,NUV_transit_uncert,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_median_snr,VIS_max_snr,VIS_transit_uncert,NIR_min_flux,NIR_median_flux,NIR_max_flux,NIR_snr,NIR_transit_uncert
#name,  K,  R_sun,  M_sun,  deg,  deg,  ,  h, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ,  ,  ppm, mJy,  mJy,  mJy,  ,  ppm
Gaia DR3 65017627244152064,10023.58984375,nan,nan,56.8374628864436,23.803141100251725,7.015804680847438,2.5,865.9506317172518,3096.9167305161814,3433.013776206384,431.8560868843838,769.6248809338764,845.4077878498146,1837.5361782184893,2165.064038835455,5211.725682970358,7552.253417046014,775.3942345558681,1244.3768254845806,1371.6892276885128,1136.4833653362014,1176.6824593675367,2140.392738663035,3331.4822885319195,54766.277093934914,25.82270764812882
Gaia DR3 65207709611941376,10295.369140625,nan,nan,56.85182143112869,23.9144778917631,7.304697527450096,2.5,663.6452567686362,2373.4079328965418,2630.985215037822,375.9935071363559,672.5275232173042,738.9750641079871,2102.8337332688475,1659.2568067351997,3994.1503619249033,5787.878632524429,678.1608178660802,1088.9600340054374,1200.45103542521,1298.6827047924826,901.7832013512485,1640.3492723584736,2553.173746647067,47632.52237405168,29.690083411234653
Gaia DR3 68388528032874112,4760.95263671875,nan,nan,55.32537328352931,25.008245797308668,7.351296902689028,2.5,2.0640018163335396,56.875658119804605,1015.839970641835,5.632077804066434,79.17740239378465,424.36825334028356,17861.32810141432,639.3909603467345,4836.921438387182,6064.675108592913,401.90309118472754,1169.186802554295,1268.6645470309593,1209.570240857574,4225.7171197141615,6092.033162594149,6265.667549183561,92181.20555611132,15.341669202972765
Gaia DR3 65231486552803328,9796.7109375,nan,nan,56.61376023966258,24.254800329035454,7.374356318325649,2.5,622.4041480658401,2225.9165230531817,2467.487101938745,363.56180090682545,650.9604921369876,715.3388200494066,2172.5029083262543,1556.1451071720744,3745.940663186886,5428.200733213009,656.5751196602976,1054.4704808284662,1162.4521039343017,1341.159935802081,845.7434140492685,1538.412549445267,2394.5110952551267,46044.2639561839,30.71421803416974
Gaia DR3 69877988331531904,10265.265625,nan,nan,55.930098933897625,25.08049424832434,7.537358587398611,2.5,535.6382355448479,1915.613838023786,2123.5084014451777,335.9232868733835,603.0762423135276,662.8673808211032,2344.999625499877,1339.211542930181,3223.739837724973,4671.485355547301,608.6681109903305,977.9457126820992,1078.1435042728988,1446.1064086006313,727.8430123462233,1323.9509827909196,2060.7055753737363,42512.149042001765,33.26610379013915
Gaia DR3 66746441777612416,10021.97265625,nan,nan,57.32010689706659,24.39593347467187,7.547309580894937,2.5,530.751430488946,1898.1370584221802,2104.134930875294,334.29942585110706,600.2658541179246,659.7880947719063,2355.9786928930785,1326.9934724030525,3194.3285913043683,4628.865847194168,605.8572722061576,973.4567841474945,1073.1981070586353,1452.7748795870725,721.2026594427035,1311.8721394090835,2041.9050757898742,42304.5769303109,33.42932762813714
Gaia DR3 66558249192653952,9724.36328125,nan,nan,57.48590927641627,24.348794070150262,7.565590285591882,2.5,521.889899194147,1866.445385110004,2069.003876171864,331.3347273731562,595.1358093536636,654.1673094443265,2376.287126645893,1304.8377258366029,3140.9954467254884,4551.581383680713,600.7266787446208,965.2635007669751,1064.1717080827084,1465.106223584954,709.1613166041998,1289.9688616215158,2007.8130231062821,41925.596320673925,33.731507396013654
Gaia DR3 65005880510573696,4882.51611328125,nan,nan,56.90428209463799,23.608852238285635,7.649721736258242,2.5,1.5679786383955836,43.20723764427763,771.712195885683,4.3118378775815644,64.95512969490413,367.71111063343824,21772.161321449003,485.73182420344654,3674.507178710325,4607.205741696119,349.0623837392521,1018.6133265299959,1105.3519868620544,1388.371353034178,3210.1881515706923,4627.989078184753,4759.895458745381,80141.36132996526,17.646487892192987
Gaia DR3 65007083101413888,9649.068359375,nan,nan,56.861890197773505,23.678126852419386,7.773573824730642,2.5,430.908911623918,1541.0682420662113,1708.3147418709116,299.2267315209025,539.6575804983945,593.39126612231,2620.575738169034,1077.3655614992301,2593.4261832890083,3758.10488618006,545.2673861267485,876.7262174399659,966.6354016937821,1613.061790832021,585.5333310254791,1065.088784144657,1657.7912810096395,37819.970122074614,37.39330194625544
Gaia DR3 65221487868870784,9835.4453125,nan,nan,56.46524526083272,24.03867637774549,7.864423919514054,2.5,396.31949687557625,1417.3654196310872,1571.1869045639623,286.09216226993055,517.0095200044034,568.5859623362128,2735.3723822359216,990.884536769807,2385.24971848829,3456.438698572172,522.6419187012698,840.6231076004071,926.864968440287,1682.3396235323883,538.5320862392151,979.5932264878227,1524.7190036948614,36139.78632380907,39.131763251223326
