pl_name,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_vmag,designation,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,parallax,pmra,pmdec,ruwe,cluster,nn_source_id,nn_sep_arcsec,nn_dG,vis_waltzer_2026,cluster_center_ra,cluster_center_dec
Gaia DR3 65146136962005376,2.5,6345.298828125,,,55.44839094481519,23.59179504250451,11.330463511400794,Gaia DR3 65146136962005376,65146136962005376,11.198787,11.567273,10.662253,0.90501976,6345.299,3.9206,2.424878815227887,-1.2076006443789593,-8.54534656932891,0.97531414,M45,65134793951549440,248.59382745914644,0.6590767,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65275089060719104,2.5,5464.44384765625,,,56.1833687967795,24.231003278419283,11.346986342723179,Gaia DR3 65275089060719104,65275089060719104,11.193486,11.617371,10.609508,1.007863,5464.444,4.5839,7.465089779730926,21.46729347046291,-46.4541970849661,1.2194091,M45,65287458566524928,217.58130920052866,-5.7521615,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65072435323295872,2.5,5191.54052734375,,,56.04683380132059,23.379119346046334,11.352986498036055,Gaia DR3 65072435323295872,65072435323295872,11.193929,11.627196,10.593733,1.0334635,5191.5405,4.474,7.58020870179761,22.039851021011096,-46.63903879701039,1.00204,M45,65071129653243264,273.67594894509205,-0.42119503,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65233788655261568,2.5,5212.673828125,,,55.89349233390916,23.761713579644525,11.366312089153805,Gaia DR3 65233788655261568,65233788655261568,11.201932,11.649506,10.5917,1.057806,5212.674,4.4379,7.27281753089127,22.96594039164058,-47.11639672043164,1.3708965,M45,65142391750598656,312.41898101536253,-2.4386787,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65289623229979136,2.5,5216.189453125,,,56.02026285603311,24.275319181164605,11.37240881058831,Gaia DR3 65289623229979136,65289623229979136,11.209136,11.650412,10.597657,1.0527544,5216.1895,4.4398,7.285423899385576,20.133680883909427,-45.35637699913802,0.9129053,M45,65289142193643008,114.29045950178286,1.1542454,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 68280427999136128,2.5,5920.048828125,,,55.3317969338288,24.29396286733807,11.381194553400073,Gaia DR3 68280427999136128,68280427999136128,11.255396,11.608893,10.732373,0.87652016,5920.049,3.9959,3.4385926801471554,37.09675713360703,-34.02613073294116,1.0201919,M45,68279470223462656,332.3564132528502,-0.7363558,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65078001600941184,2.5,4871.263671875,,,55.63074092509595,23.268701509522824,11.422448058378796,Gaia DR3 65078001600941184,65078001600941184,11.147667,11.874854,10.3192,1.5556545,4871.2637,2.9232,1.4944579172148666,12.195523868070884,-4.883776078574256,0.9624802,M45,65102225216403456,499.3750126026591,1.2548323,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64979732749686016,2.5,5225.0712890625,,,56.75601002050891,23.494741451278703,11.426602041096876,Gaia DR3 64979732749686016,64979732749686016,11.273634,11.696708,10.691306,1.0054016,5225.0713,4.5212,7.386528543828836,19.0718927796905,-45.023437835823266,0.9098149,M45,64980278208557696,291.47807406906173,0.6880417,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 68303487680516224,2.5,5017.34033203125,,,56.109579035829455,24.58950062402356,11.451938161043165,Gaia DR3 68303487680516224,68303487680516224,11.282754,11.738189,10.658539,1.0796499,5017.3403,4.4015,7.465685925621427,19.65581279402085,-46.0475584579759,0.9851145,M45,65299862432001536,335.61180863396385,-0.31241322,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64957089682129536,2.5,5509.61572265625,,,56.624781632122044,23.183366925214735,11.491301548077336,Gaia DR3 64957089682129536,64957089682129536,11.341843,11.756091,10.766974,0.98911667,5509.6157,4.2289,3.993631363574493,4.689921437620478,-33.21363457988105,1.0850023,M45,64953069592851328,252.7279269837041,-0.140625,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66501972240508032,2.5,4782.11767578125,,,57.35710165298493,23.808498326958723,11.505354460738161,Gaia DR3 66501972240508032,66501972240508032,11.316088,11.823981,10.654009,1.1699724,4782.1177,4.5627,9.671861806641688,15.470809802387206,-23.313505676302622,1.2370472,M45,66502281478384000,112.20924840320673,-0.20156479,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66452769091505024,2.5,5164.025390625,,,57.459924115814104,23.705388529695107,11.509089217888949,Gaia DR3 66452769091505024,66452769091505024,11.35299,11.778655,10.758796,1.0198593,5164.0254,4.5038,7.208992297855638,19.586708265427433,-44.02362241603657,1.1626065,M45,66453490649681280,96.4652770312817,-5.1938214,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66530147225816960,2.5,6274.31640625,,,57.22901544550784,24.14136465623487,11.512192334527247,Gaia DR3 66530147225816960,66530147225816960,11.394886,11.727365,10.892781,0.8345833,6274.3164,4.1838,3.171273829550418,-13.047180962275249,-21.787581056817274,1.2774414,M45,66526127137440128,376.54831952273577,-7.7790914,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66522141406783616,2.5,4849.77001953125,,,57.05240731161937,23.999141125286844,11.514148297190097,Gaia DR3 66522141406783616,66522141406783616,11.144685,12.215603,10.12849,2.0871124,4849.77,2.0859,0.46750294496097144,1.1131047804439154,-0.12344364958429063,1.1035167,M45,66524168631480064,242.0978440929267,0.4967327,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69816965436241280,2.5,3642.759033203125,,,56.54022795269698,24.909301083855024,11.518338469264883,Gaia DR3 69816965436241280,69816965436241280,11.142351,12.817372,9.919523,2.897849,3642.759,0.9482,0.25538604909574436,-1.5293869647569982,-0.47975514351422227,1.2683942,M45,66814233541256192,184.9141399971487,-0.061530113,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66847287606832768,2.5,5627.09716796875,,,56.79968667424858,25.116247123088435,11.53150162102469,Gaia DR3 66847287606832768,66847287606832768,11.399183,11.7051,10.796993,0.9081068,5627.097,4.1838,4.186291881802557,-35.08936406195866,-55.37907733152255,0.9454723,M45,66841343374802688,183.01429495965368,-0.010055542,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 68180239298447104,2.5,4962.4033203125,,,55.179095478679365,24.068045194252417,11.535461340679799,Gaia DR3 68180239298447104,68180239298447104,11.264382,11.978884,10.44057,1.5383139,4962.4033,2.6158,0.9513583579526972,5.998688503062409,-12.871154082333707,1.1224804,M45,68180475520227968,119.69814324379115,1.0712748,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69967048773929472,2.5,6136.32763671875,,,56.940728687346144,25.61437602993086,11.537015356021799,Gaia DR3 69967048773929472,69967048773929472,11.385864,11.798537,10.801557,0.99698067,6136.3276,3.5455,1.6161051876290633,9.554040041513314,-6.840233524088466,0.7888048,M45,69964879813013248,464.02214891078944,-1.6893911,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69948116558111488,2.5,5618.7783203125,,,56.90388179052674,25.387698400115237,11.568070110561337,Gaia DR3 69948116558111488,69948116558111488,11.435756,11.810406,10.902318,0.90808773,5618.7783,4.131,2.8488768940292393,18.002973939729895,-8.183646401590757,0.9752534,M45,69948253997063424,134.75534405056118,-3.1661854,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66825018203119232,2.5,5932.02734375,,,57.08248957474554,24.84791864281183,11.568421638291426,Gaia DR3 66825018203119232,66825018203119232,11.457664,11.773172,10.971635,0.8015375,5932.0273,4.3276,4.227826397688485,1.7334059387917042,24.400643959358266,1.2631202,M45,66825159938146048,76.57552288662887,0.62050056,0914-0130,56.65833333333333,24.178055555555556
